Ref,Val,Package,PosX,PosY,Rot,Side
"BT1","Battery_Cell","BatteryHolder_Keystone_106_1x20mm",-0.269962,1.012989,0.000000,bottom
"J2","Power_inlet_vertical","Wurth-694106402002",-0.612033,2.005867,90.000000,bottom
"C1","C_0805_0.1uf","C_0805_2012Metric",1.927194,0.412989,0.000000,top
"C2","C_0805_1uf","C_0805_2012Metric",1.027194,2.212989,0.000000,top
"C3","C_0805_0.1uf","C_0805_2012Metric",4.927194,0.412989,0.000000,top
"C4","C_0805_0.1uf","C_0805_2012Metric",1.927194,0.212989,0.000000,top
"C5","C_0805_0.1uf","C_0805_2012Metric",1.027194,2.612989,0.000000,top
"C6","C_0805_22pf","C_0805_2012Metric",2.927194,0.212989,0.000000,top
"C7","C_0805_22pf","C_0805_2012Metric",2.627194,0.212989,0.000000,top
"C10","C_0805_0.1uf","C_0805_2012Metric",1.459826,1.039952,0.000000,top
"C11","C_0805_1uf","C_0805_2012Metric",2.003757,1.360256,0.000000,top
"C12","C_0805_0.1uf","C_0805_2012Metric",3.445303,3.378166,-90.000000,top
"C13","C_0805_10uf","C_0805_2012Metric",3.184732,3.212805,0.000000,top
"D1","LED_0805","LED_0805_2012Metric",2.227194,0.412989,0.000000,top
"D2","LED_0805","LED_0805_2012Metric",4.009778,0.609294,180.000000,top
"DS1","TC1602A-01T","TC1602A-01T",1.567352,3.012989,0.000000,top
"J1","Conn_01x06","PinHeader_1x06_P2.54mm_Vertical",4.727194,0.462989,180.000000,top
"J3","Conn_02x03_Odd_Even","PinHeader_2x03_P2.54mm_Vertical",2.827194,1.412989,0.000000,top
"R1","R_0805_47","R_0805_2012Metric",5.027194,0.712989,0.000000,top
"R2","R_0805_47","R_0805_2012Metric",3.427194,0.412989,180.000000,top
"R3","R_0805_4.7K","R_0805_2012Metric",3.091315,1.291753,0.000000,top
"R4","R_0805_4.7K","R_0805_2012Metric",3.100384,1.154604,0.000000,top
"R5","R_0805_10K","R_0805_2012Metric",3.427194,0.212989,0.000000,top
"R6","R_0805_2.2K","R_0805_2012Metric",2.231100,0.290922,0.000000,top
"R7","R_0805_10K","R_0805_2012Metric",1.454944,1.165925,0.000000,top
"R8","R_0805_10K","R_0805_2012Metric",5.193730,3.012989,0.000000,top
"R9","R_0805_47","R_0805_2012Metric",1.527194,3.312989,180.000000,top
"R10","R_0805_10K","R_0805_2012Metric",5.227194,2.512989,0.000000,top
"R11","R_0805_10K","R_0805_2012Metric",5.256791,1.984073,180.000000,top
"R12","R_0805_10K","R_0805_2012Metric",5.227194,1.512989,0.000000,top
"R13","R_0805_2.2K","R_0805_2012Metric",3.697044,0.376435,0.000000,top
"R14","R_0805_47","R_0805_2012Metric",2.965101,3.232661,-90.000000,top
"R15","R_0805_47","R_0805_2012Metric",2.935768,3.373008,0.000000,top
"R16","R_0805_47","R_0805_2012Metric",2.737658,3.371654,0.000000,top
"R17","R_0805_47","R_0805_2012Metric",2.549546,3.373008,0.000000,top
"R18","R_0805_47","R_0805_2012Metric",2.354976,3.375265,0.000000,top
"RV1","R_POT_10K","Potentiometer_Bourns_3386P_Vertical",0.827194,3.012989,0.000000,top
"SW1","Omron_B3F_SPST","SW_SPST_Omron_B3FS-100xP",4.818056,3.010958,0.000000,top
"SW2","Omron_B3F_SPST","SW_SPST_Omron_B3FS-100xP",4.820580,2.517022,0.000000,top
"SW3","Omron_B3F_SPST","SW_SPST_Omron_B3FS-100xP",4.821596,2.017460,0.000000,top
"SW4","Omron_B3F_SPST","SW_SPST_Omron_B3FS-100xP",4.822611,1.513836,0.000000,top
"SW5","Omron_B3F_SPST","SW_SPST_Omron_B3FS-100xP",4.008424,0.378466,0.000000,top
"U1","ATmega328-PU","DIP-28_W7.62mm",1.877588,0.563382,90.000000,top
"U2","L7805","TO-252-2",0.509871,2.612989,180.000000,top
"U3","DS1307_DIP-8","DIP-8_W7.62mm",1.576119,1.463236,0.000000,top
"Y1","Crystal_16MHz","Crystal_SMD_HC49-SD",2.735073,0.388276,0.000000,top
"Y2","Crystal_32768Hz","Crystal_SMD_2Pin_3.2x1.5mm",1.476325,1.416610,-90.000000,top
